1 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
135 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
136 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
136 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
136 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
137 Hint: ( work_mem , 64mb , [] )  hint_id : 3 
137 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
137 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
138 Hint: ( work_mem , 64mb , [] )  hint_id : 3 
139 Hint: ( work_mem , 64mb , [] )  hint_id : 3 
139 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
139 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
139 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
139 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
139 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
139 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
140 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
140 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
140 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
140 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
140 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
140 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
140 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
141 Hint: ( work_mem , 64mb , [] )  hint_id : 3 
141 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
141 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
141 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
141 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
141 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
141 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
141 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
142 Hint: ( max_wal_size , increase , ['large queries'] )  hint_id : 89 
142 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
143 Hint: ( wal_buffers , 8mb , [] )  hint_id : 13 
143 Hint: ( wal_buffers , 16mb , ['wal operation'] )  hint_id : 14 
143 Hint: ( wal_buffers , increase , ['many connections'] )  hint_id : 19 
143 Hint: ( wal_buffers , increase , ['many concurrent transactions'] )  hint_id : 20 
143 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
144 Hint: ( max_wal_size , increase , ['large queries'] )  hint_id : 89 
144 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
145 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
145 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
145 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
145 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
145 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
145 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
145 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
146 Hint: ( wal_buffers , 8mb , [] )  hint_id : 13 
146 Hint: ( wal_buffers , 16mb , ['wal operation'] )  hint_id : 14 
146 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
146 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
146 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
146 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
146 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
146 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
146 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
146 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
147 Hint: ( work_mem , 64mb , [] )  hint_id : 3 
147 Hint: ( wal_buffers , 8mb , [] )  hint_id : 13 
147 Hint: ( wal_buffers , 16mb , ['wal operation'] )  hint_id : 14 
147 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
147 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
147 Hint: ( max_parallel_workers , increase , ['large queries'] )  hint_id : 78 
147 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
148 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
149 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
149 Hint: ( max_parallel_workers , increase , ['large queries'] )  hint_id : 78 
149 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
150 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
151 Hint: ( work_mem , 64mb , [] )  hint_id : 3 
151 Hint: ( max_wal_size , increase , ['large queries'] )  hint_id : 89 
151 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
152 Hint: ( max_wal_size , increase , ['large queries'] )  hint_id : 89 
152 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
153 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
153 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
153 Hint: ( max_parallel_workers , increase , ['large queries'] )  hint_id : 78 
153 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
154 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
154 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
154 Hint: ( max_parallel_workers , increase , ['large queries'] )  hint_id : 78 
154 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
155 Hint: ( wal_buffers , 8mb , [] )  hint_id : 13 
155 Hint: ( wal_buffers , 16mb , ['wal operation'] )  hint_id : 14 
155 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
156 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
156 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
156 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
156 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
156 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
156 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
156 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
156 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
156 Hint: ( max_parallel_workers , increase , ['large queries'] )  hint_id : 78 
156 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
157 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
157 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
158 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
158 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
159 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
159 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
160 Hint: ( wal_buffers , 8mb , [] )  hint_id : 13 
160 Hint: ( wal_buffers , 16mb , ['wal operation'] )  hint_id : 14 
160 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
160 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
160 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
160 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
160 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
160 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
160 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
161 Hint: ( work_mem , 64mb , [] )  hint_id : 3 
161 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
161 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
162 Hint: ( wal_buffers , 8mb , [] )  hint_id : 13 
162 Hint: ( wal_buffers , 16mb , ['wal operation'] )  hint_id : 14 
162 Hint: ( wal_buffers , increase , ['many connections'] )  hint_id : 19 
162 Hint: ( wal_buffers , increase , ['many concurrent transactions'] )  hint_id : 20 
162 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
162 Hint: ( min_parallel_table_scan_size , increase , ['not read heavy'] )  hint_id : 98 
163 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
163 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
163 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
163 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
163 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
163 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
163 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
163 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
163 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
164 Hint: ( wal_buffers , 8mb , [] )  hint_id : 13 
164 Hint: ( wal_buffers , 16mb , ['wal operation'] )  hint_id : 14 
164 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
164 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
164 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
164 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
164 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
164 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
164 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
164 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
164 Hint: ( max_parallel_workers , increase , ['large queries'] )  hint_id : 78 
164 Hint: ( min_parallel_table_scan_size , 8mb , [] )  hint_id : 94 
165 Hint: ( work_mem , 64mb , [] )  hint_id : 3 
165 Hint: ( wal_buffers , 8mb , [] )  hint_id : 13 
165 Hint: ( wal_buffers , 16mb , ['wal operation'] )  hint_id : 14 
1 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
1 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
3 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
3 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
3 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
4 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
4 Hint: ( effective_cache_size , increase , ['index'] )  hint_id : 40 
4 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
4 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
7 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
7 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
7 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
8 Hint: ( temp_buffers , increase , ['many connections'] )  hint_id : 21 
8 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
9 Hint: ( effective_cache_size , increase , ['index'] )  hint_id : 40 
9 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
9 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
10 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
10 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
10 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
10 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
10 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
11 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
11 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
11 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
11 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
11 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
11 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
11 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
11 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
11 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
12 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
12 Hint: ( effective_cache_size , increase , ['index'] )  hint_id : 40 
13 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
13 Hint: ( effective_cache_size , increase , ['index'] )  hint_id : 40 
13 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
14 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
14 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
14 Hint: ( max_parallel_workers , 8cpu , [] )  hint_id : 77 
1 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
2 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
2 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
3 Hint: ( temp_buffers , increase , ['many connections'] )  hint_id : 21 
3 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
4 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
4 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
4 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
4 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
4 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
6 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
8 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
8 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
8 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
9 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
9 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
9 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
9 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
9 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
9 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
9 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
10 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
10 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
10 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
10 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
10 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
10 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
10 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
10 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
11 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
11 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
11 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
11 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
11 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
12 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
12 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
12 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
12 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
12 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
13 Hint: ( temp_buffers , increase , ['many connections'] )  hint_id : 21 
13 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
13 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
13 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
13 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
13 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
13 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
14 Hint: ( temp_buffers , increase , ['many connections'] )  hint_id : 21 
14 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
14 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
14 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
14 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
14 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
15 Hint: ( temp_buffers , increase , ['many connections'] )  hint_id : 21 
15 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
16 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
16 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
16 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
16 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
16 Hint: ( max_parallel_workers , 4cpu , [] )  hint_id : 76 
17 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
17 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
18 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
19 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
19 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
19 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
19 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
19 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
20 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
20 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
20 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
20 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
21 Hint: ( effective_cache_size , 0.5mem , [] )  hint_id : 34 
21 Hint: ( maintenance_work_mem , 256mb , [] )  hint_id : 41 
21 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
23 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
25 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
25 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
26 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
27 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
28 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
28 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
28 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
28 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
28 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
28 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
28 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
29 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
29 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
29 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
29 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
29 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
29 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
29 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
29 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
30 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
30 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
30 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
31 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
31 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
31 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
32 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
32 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
32 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
32 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
32 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
32 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
32 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
32 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
34 Hint: ( temp_buffers , increase , ['many connections'] )  hint_id : 21 
34 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
34 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
34 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
34 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
34 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
35 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
35 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
35 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
35 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
35 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
35 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
35 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
36 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
36 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
36 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
36 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
36 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
38 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
38 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
38 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
38 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
38 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
38 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
39 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
40 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
42 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
42 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
42 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
42 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
42 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
42 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
43 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
43 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
43 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
45 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
45 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
45 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
46 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
46 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
46 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
46 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
47 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
47 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
47 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
47 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
47 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
47 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
48 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
48 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
48 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
48 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
48 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
48 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
48 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
49 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
50 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
51 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
51 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
51 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
51 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
51 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
51 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
51 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
53 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
58 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
58 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
58 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
58 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
58 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
58 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
58 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
60 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
62 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
64 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
64 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
64 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
64 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
64 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
64 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
64 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
66 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
66 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
66 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
66 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
66 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
66 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
66 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
68 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
68 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
68 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
68 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
68 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
68 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
68 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
71 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
83 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
83 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
83 Hint: ( shared_buffers , 4gb , [] )  hint_id : 25 
83 Hint: ( shared_buffers , 0.2mem , [] )  hint_id : 26 
83 Hint: ( shared_buffers , 0.4mem , [] )  hint_id : 27 
83 Hint: ( shared_buffers , 0.25mem , [] )  hint_id : 28 
83 Hint: ( max_wal_size , 8gb , [] )  hint_id : 84 
83 Hint: ( shared_buffers , increase , ['issues with caching data'] )  hint_id : 32 
84 Hint: ( shared_buffers , 2gb , [] )  hint_id : 23 
84 Hint: ( shared_buffers , 2.5gb , [] )  hint_id : 24 
